customer_id,text,sentiment
CUST0000,Loved the experience!,positive
CUST0001,It was okay.,neutral
CUST0002,It was okay.,neutral
CUST0003,Would not recommend at all.,negative
CUST0004,Very satisfied with the service.,positive
CUST0005,Quick response and friendly staff.,positive
CUST0006,Very satisfied with the service.,positive
CUST0007,Neither good nor bad.,neutral
CUST0008,Would not recommend at all.,negative
CUST0009,Nothing special.,neutral
CUST0010,Quick response and friendly staff.,positive
CUST0011,Average service.,neutral
CUST0012,Nothing special.,neutral
CUST0013,Quick response and friendly staff.,positive
CUST0014,Loved the experience!,positive
CUST0015,Great support and features.,positive
CUST0016,Great support and features.,positive
CUST0017,Very slow and frustrating.,negative
CUST0018,Unhelpful staff.,negative
CUST0019,Quick response and friendly staff.,positive
CUST0020,Would not recommend at all.,negative
CUST0021,Loved the experience!,positive
CUST0022,Loved the experience!,positive
CUST0023,Great support and features.,positive
CUST0024,Terrible experience.,negative
CUST0025,Nothing special.,neutral
CUST0026,Quick response and friendly staff.,positive
CUST0027,Very slow and frustrating.,negative
CUST0028,Terrible experience.,negative
CUST0029,Everything worked smoothly.,positive
CUST0030,Unhelpful staff.,negative
CUST0031,Loved the experience!,positive
CUST0032,Quick response and friendly staff.,positive
CUST0033,It was okay.,neutral
CUST0034,Average service.,neutral
CUST0035,It was okay.,neutral
CUST0036,Everything worked smoothly.,positive
CUST0037,Loved the experience!,positive
CUST0038,Would not recommend at all.,negative
CUST0039,System crashes often.,negative
CUST0040,Loved the experience!,positive
CUST0041,Would not recommend at all.,negative
CUST0042,Quick response and friendly staff.,positive
CUST0043,Nothing special.,neutral
CUST0044,Quick response and friendly staff.,positive
CUST0045,Would not recommend at all.,negative
CUST0046,Quick response and friendly staff.,positive
CUST0047,Would not recommend at all.,negative
CUST0048,Very slow and frustrating.,negative
CUST0049,Great support and features.,positive
CUST0050,Nothing special.,neutral
CUST0051,It was okay.,neutral
CUST0052,Neither good nor bad.,neutral
CUST0053,It was okay.,neutral
CUST0054,Terrible experience.,negative
CUST0055,Nothing special.,neutral
CUST0056,Quick response and friendly staff.,positive
CUST0057,Quick response and friendly staff.,positive
CUST0058,Very satisfied with the service.,positive
CUST0059,Loved the experience!,positive
CUST0060,Loved the experience!,positive
CUST0061,Great support and features.,positive
CUST0062,Just fine.,neutral
CUST0063,Great support and features.,positive
CUST0064,Great support and features.,positive
CUST0065,Very slow and frustrating.,negative
CUST0066,Everything worked smoothly.,positive
CUST0067,Nothing special.,neutral
CUST0068,Great support and features.,positive
CUST0069,Just fine.,neutral
CUST0070,It was okay.,neutral
CUST0071,Very satisfied with the service.,positive
CUST0072,Quick response and friendly staff.,positive
CUST0073,Nothing special.,neutral
CUST0074,It was okay.,neutral
CUST0075,It was okay.,neutral
CUST0076,Neither good nor bad.,neutral
CUST0077,Quick response and friendly staff.,positive
CUST0078,Great support and features.,positive
CUST0079,Everything worked smoothly.,positive
CUST0080,Nothing special.,neutral
CUST0081,System crashes often.,negative
CUST0082,Great support and features.,positive
CUST0083,Great support and features.,positive
CUST0084,Great support and features.,positive
CUST0085,Great support and features.,positive
CUST0086,Nothing special.,neutral
CUST0087,Unhelpful staff.,negative
CUST0088,Average service.,neutral
CUST0089,System crashes often.,negative
CUST0090,Loved the experience!,positive
CUST0091,It was okay.,neutral
CUST0092,Just fine.,neutral
CUST0093,Very slow and frustrating.,negative
CUST0094,Nothing special.,neutral
CUST0095,Terrible experience.,negative
CUST0096,Would not recommend at all.,negative
CUST0097,Would not recommend at all.,negative
CUST0098,Very satisfied with the service.,positive
CUST0099,Great support and features.,positive
CUST0100,Loved the experience!,positive
CUST0101,Very slow and frustrating.,negative
CUST0102,Loved the experience!,positive
CUST0103,System crashes often.,negative
CUST0104,Just fine.,neutral
CUST0105,Quick response and friendly staff.,positive
CUST0106,Very slow and frustrating.,negative
CUST0107,Neither good nor bad.,neutral
CUST0108,Great support and features.,positive
CUST0109,Quick response and friendly staff.,positive
CUST0110,Everything worked smoothly.,positive
CUST0111,Everything worked smoothly.,positive
CUST0112,Nothing special.,neutral
CUST0113,Nothing special.,neutral
CUST0114,Terrible experience.,negative
CUST0115,Nothing special.,neutral
CUST0116,Just fine.,neutral
CUST0117,Very satisfied with the service.,positive
CUST0118,It was okay.,neutral
CUST0119,Unhelpful staff.,negative
CUST0120,Nothing special.,neutral
CUST0121,Nothing special.,neutral
CUST0122,Quick response and friendly staff.,positive
CUST0123,Great support and features.,positive
CUST0124,Quick response and friendly staff.,positive
CUST0125,Very slow and frustrating.,negative
